   -0.188125237226486206E+02    0.395252516672997235-321
   -0.180395815372467041E+02    0.395252516672997235-321
   -0.172341992855072021E+02    0.395252516672997235-321
   -0.158794147968292236E+02    0.395252516672997235-321
   -0.160064299106597900E+02    0.395252516672997235-321
   -0.202804620265960693E+02    0.395252516672997235-321
   -0.151958105564117432E+02    0.395252516672997235-321
   -0.203962798118591309E+02    0.395252516672997235-321
   -0.174666366577148438E+02    0.395252516672997235-321
   -0.150577018260955811E+02    0.395252516672997235-321
   -0.191859558820724487E+02    0.395252516672997235-321
   -0.195805224180221558E+02    0.395252516672997235-321
   -0.171986321210861206E+02    0.395252516672997235-321
   -0.184693983793258667E+02    0.395252516672997235-321
   -0.155430589914321899E+02    0.395252516672997235-321
   -0.200650906562805176E+02    0.395252516672997235-321
   -0.170099759101867676E+02    0.395252516672997235-321
   -0.151022286415100098E+02    0.395252516672997235-321
   -0.156363773345947266E+02    0.395252516672997235-321
   -0.174070883989334106E+02    0.395252516672997235-321
   -0.194728803634643555E+02    0.395252516672997235-321
   -0.178145828247070312E+02    0.395252516672997235-321
   -0.182661248445510864E+02    0.395252516672997235-321
   -0.205442168712615967E+02    0.395252516672997235-321
   -0.158519057035446167E+02    0.395252516672997235-321
   -0.202953590154647827E+02    0.395252516672997235-321
   -0.207117483615875244E+02    0.395252516672997235-321
   -0.206243745088577271E+02    0.395252516672997235-321
   -0.193739891052246094E+02    0.395252516672997235-321
   -0.193829762935638428E+02    0.395252516672997235-321
   -0.176287422180175781E+02    0.395252516672997235-321
   -0.200823032855987549E+02    0.395252516672997235-321
   -0.157837353944778442E+02    0.395252516672997235-321
   -0.186131565570831299E+02    0.395252516672997235-321
   -0.204499450922012329E+02    0.395252516672997235-321
   -0.187742435932159424E+02    0.395252516672997235-321
   -0.196181287765502930E+02    0.395252516672997235-321
   -0.204736071825027466E+02    0.395252516672997235-321
   -0.191900238990783691E+02    0.395252516672997235-321
   -0.174814617633819580E+02    0.395252516672997235-321
   -0.153606516122817993E+02    0.395252516672997235-321
   -0.161785472631454468E+02    0.395252516672997235-321
   -0.197564492225646973E+02    0.395252516672997235-321
   -0.160775671005249023E+02    0.395252516672997235-321
   -0.172433620691299438E+02    0.395252516672997235-321
   -0.180687618255615234E+02    0.395252516672997235-321
   -0.164410157203674316E+02    0.395252516672997235-321
   -0.195398068428039551E+02    0.395252516672997235-321
   -0.162661314010620117E+02    0.395252516672997235-321
   -0.192987746000289917E+02    0.395252516672997235-321
   -0.174960719347000122E+02    0.395252516672997235-321
   -0.200488536357879639E+02    0.395252516672997235-321
   -0.195501930713653564E+02    0.395252516672997235-321
   -0.200337703227996826E+02    0.395252516672997235-321
   -0.166163681745529175E+02    0.395252516672997235-321
